chembl_id,canonical_smiles,MolWt,LogP,HDonors,HAcceptors
CHEMBL204146,O=c1oc2c(O)c(O)ccc2c2ccc(O)cc12,244.20199999999997,2.0629999999999997,3,5
CHEMBL6355,O=c1oc2ccccc2c2ccccc12,196.20499999999998,2.946200000000001,0,2
CHEMBL6364,O=c1oc2c(O)c(O)ccc2c2ccccc12,228.20299999999997,2.3573999999999993,2,4
CHEMBL6365,O=c1oc2ccccc2c2cc(O)c(O)cc12,228.20299999999997,2.357400000000001,2,4
CHEMBL266458,O=c1oc2cc(O)c(O)cc2c2cc(O)c(O)cc12,260.20099999999996,1.7686,4,6
CHEMBL6366,COc1cc2nc(N3CCN(C(=O)COc4ccccc4)CC3)nc(N)c2cc1OC,423.47300000000024,1.9567999999999997,1,8
CHEMBL3,CN1CCC[C@H]1c1cccnc1,162.236,1.8483,0,2
CHEMBL6200,c1cncc([C@@H]2CCCN2)c1,148.209,1.5061,1,2
CHEMBL6346,O=C(C1CCCCN1)N1CCN(Cc2cccnc2)CC1,288.3950000000001,0.8678999999999992,1,4
CHEMBL414181,c1cncc(CN2CCN(C[C@@H]3CCCN3)CC2)c1,260.38499999999993,0.9512000000000003,1,4
CHEMBL6334,c1cc(CN2CCN(C[C@@H]3CCCN3)CC2)ccn1,260.38499999999993,0.9511999999999998,1,4
CHEMBL263076,O=c1oc2c(O)c(O)ccc2c2cc(F)ccc12,246.19299999999996,2.4965,2,4
