molregno,canonical_smiles
65567,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O
65590,CC1C2Cc3ccc(O)cc3C1(C)CCN2CCc1ccccc1
65605,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
66213,N[C@@H](CS)C(=O)O
66238,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2
67050,CCC(=O)[N-]S(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1.[Na+]
68396,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2
68817,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O
70674,NCCCC(O)(P(=O)(O)O)P(=O)(O)O
70675,CC(O)(P(=O)(O)O)P(=O)(O)O
72035,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C
72036,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
72873,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
74284,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O
75752,C#CCN[C@@H]1CCc2ccccc21
76538,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
76760,CS(=O)(=O)O.C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O
76766,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
77652,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
78902,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1.Cl
80965,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
82721,CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O
83515,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C
83724,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1
83772,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O
84482,N[C@@H](Cc1ccc(O)cc1)C(=O)O
85553,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1
86042,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
86784,CCN(CC)C(=O)N1CCN(C)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O
88232,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
88248,Nc1ccc2cc3ccc(N)cc3nc2c1
89357,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl.Cl
89672,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1
90635,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=P(O)(O)O.O=P(O)(O)O
92412,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1
93617,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
94091,CC(N)C(O)c1ccccc1
94790,C[N+](C)(C)CCOC(N)=O
95969,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1
95970,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
95978,CCCC(C)C1(CC)C(=O)N=C([O-])NC1=O.[Na+]
99024,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
99581,O=C(CCCl)NCc1ccccc1
100696,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5
102073,NC(N)=O
104250,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
104846,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3cccc4c3CCC4)CS[C@H]12)c1csc(N)n1
107119,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O
110435,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O
110803,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
111185,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
111798,CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O
112090,Cc1c(O)c(=O)ccn1C
112102,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O
112665,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1.[Na+]
114406,CCOc1ccccc1OCC1CNCCO1
115554,O=C([O-])C(Cl)Cl.[Na+]
116659,Cc1cc(-c2ccc(/N=N/c3ccc4c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c4c3O)c(C)c2)ccc1/N=N/c1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O
117758,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1
119162,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N
119640,O=P1(NCCCl)OCCCN1CCCl
121124,CS(=O)(=O)O.Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
122859,O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1
123372,Oc1ccc(CCNCCCCCCNCCc2ccccc2)cc1O
125261,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12
125294,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12
128555,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2
132003,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O
134333,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
138562,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
139045,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C
139046,COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1
139072,CCNCC(O)c1cccc(O)c1
139099,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1
139434,CCNC(C)Cc1cccc(C(F)(F)F)c1
139866,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2
141484,C=CC(N)CCC(=O)O
143284,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
147769,Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1
149095,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
150389,Cl.OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
150423,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC
150722,C=CCOc1ccc(CC(=O)O)cc1Cl
150743,CC(C)NNC(=O)c1ccncc1
151063,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
151408,CC[N+](C)(C)c1cccc(O)c1
152610,NC1=NCC2c3ccccc3Cc3ccccc3N12
153408,CCCCOc1ccc(CC(=O)NO)cc1
153476,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1
157330,CN(C)C(=O)Oc1ccc[n+](C)c1
161281,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1
162546,CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1
164680,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O
165774,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
169321,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F
171062,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C.[Br-].[Br-]
175331,CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)O[C@H]2C[C@H]1O
178290,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O
180329,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1
182546,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
182928,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
187515,CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C
187696,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl
188707,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O
188815,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1
190484,Nc1ccc(C(=O)O)c(O)c1
191342,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1
193096,NC1=NC(=O)C(c2ccccc2)O1
195974,CC(=O)OCC[N+](C)(C)C.[Cl-]
200958,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C.O=C(O)c1ccccc1O
203627,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C
208661,CN(C)CCC(c1ccccc1)c1ccccn1
209162,CC(CNC1CCCCC1)OC(=O)c1ccccc1
209829,CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
209838,CN(C)CCCn1c2c(c3ccccc31)CCCCCC2
213639,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21
217341,C[C@]12CCC(=O)C(O)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
222203,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C
223819,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
227437,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1
228897,CC(C)Cc1ccc(CC(=O)O)cc1
230249,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
230999,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C.[Br-]
231013,CN(C)CCN(Cc1ccccc1)c1ccccn1
234541,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2
236376,CC/N=C(\NCC)NCCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CCCCN/C(=N/CC)NCC)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc1cccnc1)NC(=O)[C@@H](Cc1ccc(Cl)cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
237298,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
238336,N#N
239465,COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3
242303,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
245084,c1ccc2c(c1)CCCC2C1=NCCN1
247401,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1
249814,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O
253862,Clc1cc(Cl)c(OCC#CI)cc1Cl
255347,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
255477,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
255508,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1
255510,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1
258371,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1
261343,Cc1cn[nH]c1
263558,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
264453,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12
266225,CNNCc1ccc(C(=O)NC(C)C)cc1
270986,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1
277372,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
281549,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]
282991,O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1
286065,O=C(O)CCCO
294933,O=[N+]([O-])[O-].[Ag+]
298316,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2S(=O)(=O)Nc2noc(C)c2C)c(COCC)c1
300585,CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCCCCC3)CC1
304381,O=C([O-])O.[Na+]
304383,CC(=O)[O-].[Na+]
304390,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+]
304398,O=C([O-])c1ccccc1.[Na+]
304417,CC(O)C(=O)[O-].[Na+]
306485,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC
306486,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1
308174,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1
308201,Cc1ncc(CO)c(CO)c1O
311242,O=P([O-])(O)O.[Na+]
314132,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1.O=S(=O)(O)CCO.O=S(=O)(O)CCO
316539,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1
316765,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1
316787,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O
317541,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1
319858,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O
320810,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2
321964,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1
325236,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O
325239,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O
328601,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1
333157,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
334337,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O
336913,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
340684,COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C
341382,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
341383,COc1ccc(CN2CCNCC2)c(OC)c1OC
343964,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
345872,CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1
351700,COC(=O)c1cccnc1
351701,CN[C@@H](C)[C@H](O)c1ccccc1
353011,Cc1cc(C2CCCCC2)n(O)c(=O)c1
355897,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1.O=C(O)C(O)C(O)C(=O)O
359778,C[n+]1ccccc1C=NO
361469,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
364141,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
364859,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1
365248,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
365281,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
366278,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
366279,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1
367314,CS(=O)(=O)c1cc(F)cc2c3c(n(Cc4ccc(Cl)cc4)c12)[C@@H](CC(=O)O)CC3
369179,CC(C)(S)[C@@H](N)C(=O)O
371546,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
372385,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1
372428,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O
372438,CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1
374182,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
78364,Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1
79047,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12
79557,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-]
81683,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
82895,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21
83245,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12
83838,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
84505,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1
84624,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1
84633,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
84644,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)[N-]1.[Na+]
84655,NC(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1
85649,FC(F)(F)C(Cl)Br
86466,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1
88100,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1
88739,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1
88797,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
88800,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1c[nH]c3ccccc13)C2
89526,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N
91369,CCOC(=O)CCCCCCCCC(C)c1ccc(I)cc1
92458,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O
93858,CC(N)C12CC3CC(CC(C3)C1)C2
94408,CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)[O-])O[C@H]2C[C@H]1O.[Na+]
94484,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
95909,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
95929,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
96107,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
97867,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O
99320,CC(=O)OC(C)C[N+](C)(C)C
99368,O=[N+]([O-])c1cncn1CCN1CCOCC1
100310,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O
101810,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C.[Cl-].[Cl-]
102584,Cl.N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl
104385,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1
105252,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
106280,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O
109797,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1.[K+]
109807,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21
111060,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1
111482,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1
111491,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21.[K+]
111498,CN(C)CCOC(C)(c1ccccc1)c1ccccn1
112175,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2
112560,CC(C)C[C@H](NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O
113138,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br
114108,CCCCCCCCCCCCCCCC[n+]1ccccc1
114810,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1
116349,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
117108,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1
118617,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
119498,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
120669,Oc1cccc(O)c1O
122247,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12
122252,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O
123693,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+]
127755,NCCCCCC(=O)O
129399,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(N(C)C)c3ccccc32)cc1
134100,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O
136282,O=P([O-])([O-])O.[Na+].[Na+]
139014,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
139210,COc1ccc2cc(CCC(C)=O)ccc2c1
139225,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
139237,CCC1(c2cccc(O)c2)CCCCN(C)C1
139241,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1
139782,NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21
140105,Oc1ccc(C(O)C2CCCCN2)cc1O
140107,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1
140117,Clc1ccc2nsnc2c1NC1=NCCN1
144744,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1
147981,Cc1cccc(C)c1NC(=O)C1CCCCN1C
148004,CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21
148018,NNCCc1ccccc1
150313,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
150549,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1
