"molregno","canonical_smiles","ic50_nm"
"88615","COc1ccc2c(=O)n3cc(C(=O)NCCCCc4cccnc4)ccc3nc2c1","20.0"
"543840","Cl.Cn1nc2c3c(c(NCCNCCO)ccc31)C(=O)c1c(O)ccc(O)c1-2","150.0"
"543826","COCCn1nc2c3c(c(NCCNCCO)ccc31)C(=O)c1c(O)ccc(O)c1-2.Cl","1600.0"
"39172","COc1cc2c(C)nc(O)c(C(C)C)c2cc1OC","7000.0"
"279680","CS(=O)(=O)Nc1cc2c3ccccc3nc-2c[nH]1","62000.0"
"29450","CCN1CCC[C@H]1CNC(=O)c1c(OC)cccc1OC","15300.0"
"38905","CCc1c(O)nc(C)c2cc(OC)c(OC)cc12","2000.0"
"156272","O=C(CN(Cc1ccccc1)C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1)NO","300.0"
"156689","CCCCN(CC(=O)NO)C(=O)CN(CCc1ccc(F)cc1)C(=O)Nc1ccc(Oc2ccccc2)cc1","51000.0"
"156273","CCCCCCCN(CC(=O)NO)C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1","150000.0"
"176761","OCC1NC(CO)[C@H](O)[C@@H](O)[C@@H]1O","22.0"
"176761","OCC1NC(CO)[C@H](O)[C@@H](O)[C@@H]1O","4500.0"
"97768","COc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1","50.0"
"97768","COc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1","72.0"
"97768","COc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1","57.0"
"97768","COc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1","2000.0"
"151461","O=C1C[C@H](NC(=O)[C@@H]2CS[C@H]3CC[C@H](NC(=O)OCc4ccccc4)C(=O)N32)C(O)O1","4800.0"
"151461","O=C1C[C@H](NC(=O)[C@@H]2CS[C@H]3CC[C@H](NC(=O)OCc4ccccc4)C(=O)N32)C(O)O1","86000.0"
"103728","C/C(=N\C1CCCCC1)NC12CC3CC(CC(C3)C1)C2","72.0"
"103728","C/C(=N\C1CCCCC1)NC12CC3CC(CC(C3)C1)C2","10000.0"
"206187","Cc1cccc2c1C1(C34C[C@H]5C(=O)N[C@@H](Cc6ccccc6)C(=O)N5[C@H]3Nc3ccccc34)C[C@H]3C(=O)N[C@@H](Cc4ccccc4)C(=O)N3[C@H]1N2","440.0"
"206153","Cc1cccc2c1C1(C34C[C@H]5C(=O)N[C@@H](Cc6ccccc6)C(=O)N5[C@H]3Nc3cccc(C)c34)C[C@H]3C(=O)N[C@@H](Cc4ccccc4)C(=O)N3[C@H]1N2","5700.0"
