"chembl_id","canonical_smiles","ic50"
"CHEMBL425142","CC(=N)NCc1cccc(-c2ccc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cn3)cc2)c1","4.4"
"CHEMBL297145","O=C(C[C@H]1S[C@H](c2ccc(Cl)cc2Cl)N(CCC(=O)N2CCNCC2)C1=O)NCc1cccc2ccccc12","3500"
"CHEMBL288800","CN1CCN(CCCNC(=O)CN2C(=O)[C@@H](CC(=O)NCc3cccc4ccccc34)S[C@@H]2c2ccc(Cl)cc2Cl)CC1","570"
"CHEMBL42270","Cc1cccc(CNC(=O)C[C@H]2S[C@H](c3ccc(Cl)cc3Cl)N(CC(=O)NCCCN3CCOCC3)C2=O)c1","2300"
"CHEMBL44390","O=C(C[C@H]1S[C@H](c2ccc(Cl)cc2Cl)N(CC(=O)NCCCN2CCOCC2)C1=O)NCc1ccc2[nH]ccc2c1","1000"
"CHEMBL25817","CCc1cc(Cc2cnc(N)nc2N)cc(CC)c1O","120"
"CHEMBL12124","O=C1CC2(CCCC2)CC(=O)N1CCCCNC[C@@H]1COc2ccccc2O1","19.95"
"CHEMBL12124","O=C1CC2(CCCC2)CC(=O)N1CCCCNC[C@@H]1COc2ccccc2O1","5011.87"
"CHEMBL12124","O=C1CC2(CCCC2)CC(=O)N1CCCCNC[C@@H]1COc2ccccc2O1","794.33"
"CHEMBL12124","O=C1CC2(CCCC2)CC(=O)N1CCCCNC[C@@H]1COc2ccccc2O1","63.1"
"CHEMBL12124","O=C1CC2(CCCC2)CC(=O)N1CCCCNC[C@@H]1COc2ccccc2O1","630.96"
"CHEMBL12124","O=C1CC2(CCCC2)CC(=O)N1CCCCNC[C@@H]1COc2ccccc2O1","2511.89"
"CHEMBL46012","CC1(C)C(=O)NN=C1c1ccc(-n2cnc3c2CCCC3)cc1","3200"
"CHEMBL3144507","C=C(C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(C)=O)C(=O)NCCC(C)C","4"
"CHEMBL3144506","C=C(C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(=O)NCCC(C)C","2000"
"CHEMBL81109","O=C1NC(=O)C2(CCOc3cc(C(F)(F)F)ccc32)N1","1000"
"CHEMBL47102","CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(C(=O)OCCCc4ccccc4)[C@H]2C3)c1","130"
"CHEMBL47102","CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(C(=O)OCCCc4ccccc4)[C@H]2C3)c1","2300"
"CHEMBL47102","CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(C(=O)OCCCc4ccccc4)[C@H]2C3)c1","3700"
"CHEMBL279785","CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C","1.5"
"CHEMBL279785","CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C","2"
"CHEMBL279785","CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C","25"
"CHEMBL279785","CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C","1.5"
"CHEMBL279785","CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C","3.5"
"CHEMBL330055","COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2[nH]c(CCc3ccccc3)nc12","23"
"CHEMBL1181917","CCCCCCCCc1ccc(CC[C@@H](N)CO)cc1","108"
"CHEMBL40722","CC(C)C[C@H](NC(=O)c1ccc([N+](=O)[O-])cc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(N)=O)[C@@H](C)O","9000"
"CHEMBL91832","CC1(C)C(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1","5"
"CHEMBL91832","CC1(C)C(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1","370"
"CHEMBL50074","CC(=O)Oc1c(-c2ccccc2)c(-c2ccccc2)n2ccc(C=O)cc12","2900"
"CHEMBL163795","CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H]1O[C@H](C2CCCC=C2C)C=CC1=O","50"
"CHEMBL107660","N[C@H](C[C@H]1CCCC[C@H]1CCP(=O)(O)O)C(=O)O","270"
"CHEMBL22304","O=C(O)C1CN(CCCP(=O)(O)O)CCN1","190"
"CHEMBL65617","CC(C)[C@@H]1NC(=O)c2cccc(c2)CNC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)N(C)C1=O","20"
"CHEMBL65617","CC(C)[C@@H]1NC(=O)c2cccc(c2)CNC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)N(C)C1=O","6"
"CHEMBL291637","CC(C)[C@@H]1NC(=O)c2ccc(o2)CNC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)N(C)C1=O","50"
"CHEMBL19933","O=C(O)CCC/C=C\C[C@@H]1[C@H](O)CC[C@H]1NS(=O)(=O)c1ccc(Cl)cc1","2200"
"CHEMBL279478","O=C(O)CC/C=C\C[C@@H]1[C@@H](NS(=O)(=O)c2ccc(Cl)cc2)CC[C@@H]1O","1800"
"CHEMBL411233","CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](OC(=O)Oc4ccccc4)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)COC1C[C@@H]2O","7"
"CHEMBL40502","CCCCS(=O)(=O)N[C@@H](CNC(=O)c1cc2n(n1)CCN(CCC1CCNCC1)C2=O)C(=O)O","9"
"CHEMBL26083","O=C1CCCN(c2cccc(Cl)c2)N1","2500"
"CHEMBL25790","CCCCCCCCCCCCN1CCCC(=O)N1","6000"
"CHEMBL148894","COC1(C(=N)/C=C(\O)OCc2ccc3ccccc3c2)CCOCC1","70"
"CHEMBL61133","COC(=O)c1cc(O)cc(OC)c1C(=O)c1c(O)cc(C)cc1O","100"
"CHEMBL440141","CC(=O)O.CN(C(=O)C[C@@H](N)CCCCN)C1CN=C(Nc2nc3ccccc3[nH]2)NC1=O","1000"
"CHEMBL104215","Nc1ncnc2c1c(-c1cccc(O)c1)cn2-c1ccc(CCOP(=O)(O)CP(=O)(O)O)cc1","60"
"CHEMBL321569","COc1cccc(-c2cn(-c3ccc(C(=O)Nc4ccc(P(=O)(O)O)c(P(=O)(O)O)c4)cc3)c3ncnc(N)c23)c1","870"
"CHEMBL102524","CON=C1CCN(c2ccc(-c3cc(-c4cccc(Br)c4)c4c(N)ncnc4n3)nn2)CC1","18.8"
"CHEMBL102524","CON=C1CCN(c2ccc(-c3cc(-c4cccc(Br)c4)c4c(N)ncnc4n3)nn2)CC1","74.4"
"CHEMBL538795","C=C1CC[C@@H](C(=O)O)[C@H]1N.Cl","32"
"CHEMBL345033","C=C1C[C@H](NC(=O)OC(C)(C)C)[C@H](C(=O)O)C1","16"
"CHEMBL353729","CC(=O)Oc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1","3600"
"CHEMBL353729","CC(=O)Oc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1","3800"
"CHEMBL103293","COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CCN5CCOCC5)c4)ccc23)c(Cl)cc1Cl","29"
"CHEMBL103293","COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CCN5CCOCC5)c4)ccc23)c(Cl)cc1Cl","3200"
"CHEMBL137441","C=C1CCC[C@]2(C)C[C@H]3OC(=O)[C@@H](CN(C)C)[C@H]3C[C@@H]12","3000"
"CHEMBL337106","C=C1CCC[C@]2(C)C[C@H]3OC(=O)[C@@H](CN(C)C(C)C(O)c4ccccc4)[C@H]3C[C@@H]12","3000"
"CHEMBL157110","Clc1ccc(C2=CCNCC2)cn1.O=C(O)/C=C\C(=O)O","2690"
"CHEMBL157110","Clc1ccc(C2=CCNCC2)cn1.O=C(O)/C=C\C(=O)O","30"
"CHEMBL441041","CCCCCCCCCCCCCCC1(O)C[N+](C)(C)CCO1.[Br-]","7600"
"CHEMBL62955","CC(NP(=O)(O)CCc1ccccc1)C(=O)N1CCCC1C(=O)O","7"
"CHEMBL152758","CC(N[C@H](C)C(=O)N1CCC[C@H]1C(=O)O)C(=O)O","90"
"CHEMBL68958","N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)c1cccc(C(=O)O)c1","3000"
"CHEMBL54126","CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-]","22"
"CHEMBL96","NCCCC(=O)O","25"
"CHEMBL96","NCCCC(=O)O","128"
"CHEMBL96","NCCCC(=O)O","17"
"CHEMBL111920","CC(CN)C[PH](=O)O","780"
"CHEMBL112933","CP(=O)(O)C(O)CCN","1160"
"CHEMBL113310","CP(=O)(O)C[C@@H](O)CN","45"
"CHEMBL113310","CP(=O)(O)C[C@@H](O)CN","400"
"CHEMBL113310","CP(=O)(O)C[C@@H](O)CN","161"
"CHEMBL119317","Cc1cc2c(cc1C)-n1ccnc1CC(c1ccc(-n3c(C)nc4cnccc43)cc1)=N2","1.3"
"CHEMBL331567","Cc1cc(C)c2c(n1)NC(=O)CC(c1ccc(-n3c(C)nc4cnccc43)cc1)=N2","6.8"
"CHEMBL122458","CCCCc1ncc(/C=C2/C(=O)N(CCCC)C(=O)N2Cc2cc(C)on2)n1Cc1ccc(C(=O)OC)cc1","8.5"
"CHEMBL126170","CCCCc1ncc(/C=C2/C(=O)N(CCCC)C(=O)N2Cc2c[nH]c(C)n2)n1Cc1ccc(C(=O)OC)cc1","245"
"CHEMBL122443","CCCCc1ncc(/C=C2/C(=O)N(CCCC)C(=O)N2Cc2csc(N)n2)n1Cc1ccc(C(=O)O)cc1","0.6"
"CHEMBL122443","CCCCc1ncc(/C=C2/C(=O)N(CCCC)C(=O)N2Cc2csc(N)n2)n1Cc1ccc(C(=O)O)cc1","2.9"
"CHEMBL50514","COc1cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC","13"
"CHEMBL1678","COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl","5.7"
"CHEMBL1678","COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl","7138"
"CHEMBL174016","O=C(CCN1CCCCC1)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)CCc1cc(C(F)(F)F)cc(C(F)(F)F)c1","0.6"
"CHEMBL138580","CC12CCC(=O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12","1320"
"CHEMBL138580","CC12CCC(=O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12","1800"
"CHEMBL138580","CC12CCC(=O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12","1600"
"CHEMBL138580","CC12CCC(=O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12","9000"
"CHEMBL56909","O=C(NO)[C@H]1Cc2ccccc2CN1S(=O)(=O)Cc1ccc(-c2ccccn2)s1","2"
"CHEMBL60688","COc1ccc(S(=O)(=O)N2Cc3cc(N)ccc3C[C@@H]2C(=O)C(=O)O)cc1","2000"
"CHEMBL55321","O=C(O)C(=O)[C@H]1Cc2ccccc2CN1S(=O)(=O)c1ccc(OCc2ccc(F)cc2)cc1","30"
"CHEMBL294426","CC(C)(C)OC(=O)Nc1ccc2c(c1)CN(S(=O)(=O)c1ccc(-c3ccc(F)cc3)cc1)[C@@H](C(=O)NO)C2","10"
"CHEMBL95827","COc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3","900"
"CHEMBL136524","CN1CCN(c2nc3cc(F)ccc3n3ccnc23)CC1","5.2"
"CHEMBL161770","COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC)cn1)C3=CC2=O","9.7"
"CHEMBL161770","COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC)cn1)C3=CC2=O","2.9"
