molregno,canonical_smiles,LogP,TPSA
114,C=C(C=O)C[C@H]1C[C@H](O)[C@]2(C)O[C@@H]3C[C@@H]4O[C@@H]5C[C@]6(C)O[C@]7(C)CC[C@@H]8O[C@@H]9C[C@]%10(C)O[C@@H]%11C(C)=CC(=O)O[C@H]%11C[C@H]%10O[C@H]9C[C@@H](C)[C@H]8O[C@H]7C[C@H]6O[C@@]5(C)C/C=C\[C@H]4O[C@H]3C[C@H]2O1,5.472100000000008,155.89999999999998
115,CN1CCC[C@H]1c1cccnc1,1.8483,16.130000000000003
116,c1cncc([C@@H]2CCCN2)c1,1.5061,24.92
117,CCC(C)(C)NC(=O)OCC1CN(C(=O)c2cc(OC)c(OC)c(OC)c2)CCN1C(=O)c1cc(OC)c(OC)c(OC)c1,3.6198000000000023,134.33
118,COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)NC(C)CC(C)C)C2)cc(OC)c1OC,3.865800000000003,134.33
119,CCCC(C)NC(=O)OCC1CN(C(=O)c2cc(OC)c(OC)c(OC)c2)CCN1C(=O)c1cc(OC)c(OC)c(OC)c1,3.6198000000000023,134.33
120,O=C(C1CCCCN1)N1CCN(Cc2cccnc2)CC1,0.8678999999999992,48.470000000000006
121,c1cncc(CN2CCN(C[C@@H]3CCCN3)CC2)c1,0.9512000000000003,31.400000000000006
122,c1cc(CN2CCN(C[C@@H]3CCCN3)CC2)ccn1,0.9511999999999998,31.4
123,O=c1oc2c(O)c(O)ccc2c2cc(F)ccc12,2.4965,70.67
